PCOD;PDIVISAO;PPRINCFORN;PREF;PMARCAMODE;PDESC;PUNIDADE;PVLUVEN3;PVLUVENDA;SALDO
61;"0123";5;"";"";"CANTONEIRA L 1 X 3/16";"KG";7.56;11.050;0
62;"0123";16;"";"";"CANTONEIRA L 1.1/4 X 1/8";"KG";8.89;9.970;159.264
63;"0123";5;"";"";"CANTONEIRA L 1.1/4 X 3/16";"KG";9.00;18.000;0
64;"0123";5;"";"";"CANTONEIRA L 1.1/4 X 1/4";"KG";4.83;6.835;0
65;"0123";16;"";"";"CANTONEIRA L 1.1/2 X 1/8";"KG";8.85;12.457;0
66;"0123";5;"";"";"CANTONEIRA L 1.1/2 X 3/16";"KG";8.43;9.960;48.440
68;"0123";5;"";"";"CANTONEIRA L 2 X 1/8";"KG";9.31;22.500;0
70;"0123";5;"";"";"CANTONEIRA L 2 X 1/4";"KG";9.44;28.000;20.080
71;"0135";5;"";"";"CHAPA GALV. 14 (2 X 100)";"KG";13.10;13.100;0
72;"0135";5;"";"";"CHAPA GALV. 16 (2 X 100)";"KG";11.00;9.250;0
73;"0135";16;"";"";"CHAPA GALV. 18 (2 X 120)";"KG";9.68;28.280;0
74;"0135";5;"";"";"CHAPA GALV. 20 (2 X 100)";"KG";11.72;24.870;0
75;"0135";5;"";"";"CHAPA GALV. 22 2 X 100";"KG";1.02;8.880;0
76;"0135";5;"";"";"CHAPA GALV. 24 (2 X 100)";"KG";11.01;26.000;0
77;"0135";5;"";"";"CHAPA GALV. 26 (2 X 100)";"KG";5.73;9.230;0
78;"0125";5;"";"";"CHAPA PRETA (0.75) 22 (2X100)";"KG";9.38;26.330;0
79;"0125";5;"";"";"CHAPA PRETA (0.90) 20 (2X100)";"KG";0.62;5.450;0
80;"0125";5;"";"";"CHAPA PRETA (1.20) 18 (2X100)";"KG";8.70;20.000;0
81;"0125";16;"";"";"CHAPA PRETA (1.50) 16 (2X100)";"KG";10.00;24.000;2.424
82;"0125";5;"";"";"CHAPA PRETA (2.00) 14 (3X120)";"KG";7.73;12.320;345.600
83;"0125";5;"";"";"CHAPA PRETA (3.00) 1/8 (3X120)";"KG";7.40;7.970;86.400
84;"0125";16;"";"";"CHAPA PRETA (4.75) 3/16 (3X120)";"KG";6.32;11.000;2881.108
86;"0125";5;"";"";"CHAPA PRETA (8.00) 5/16 (2X100)";"KG";9.60;9.600;8.792
87;"0129";5;"";"";"CAMARA DE AR 3.25 X 8 AJAX";"PC";9.83;27.238;40.000
88;"0129";5;"";"";"CAMARA DE AR 3.25 X 8 LEVRORIM";"PC";15.34;31.102;0
89;"0129";27;"";"";"CAMARA DE AR 3.50 X 8";"PC";12.72;30.000;0
90;"0129";5;"";"";"CAMARA DE AR 3.50 X 8 LEVRORIM";"PC";22.71;27.000;0
91;"0129";5;"";"";"CAMARA DE AR 4.00 X 8 AJAX";"PC";16.00;32.000;0
92;"0129";5;"";"";"CAMARA DE AR 4.00 X 8 LEVRORIM";"PC";22.00;44.605;0
93;"0118";4;"";"";"GAS CO2";"KG";8.00;12.020;0
94;"0112";30;"";"";"CONTRA PINO FE ZN 4.00 X 30MM";"PC";0.27;0.326;0
95;"0112";2;"";"";"ENCOSTO FLANGEADO";"PC";5.02;10.992;125.000
96;"0128";2;"";"";"TUBO IND. PT QUAD. 20 X 20 CH 20";"KG";11.04;33.966;59.400
97;"0128";2;"";"";"METALON 20 X 20 CH 18";"KG";8.75;22.000;59.606
98;"0128";2;"";"";"TUBO IND. PT QUAD. 20 X 20 CH 16";"KG";5.03;7.190;0
99;"0128";16;"";"";"TUBO IND. PT QUAD. 25 X 25 CH 20";"KG";8.24;11.661;0
102;"0128";2;"";"";"TUBO IND. PT QUAD. 30 X 30 CH 20";"KG";4.00;8.000;2.708
103;"0128";2;"";"";"TUBO IND. PT QUAD. 30 X 30 CH 18";"KG";10.29;22.000;44.686
104;"0128";2;"";"";"TUBO IND. PT QUAD. 30 X 30 CH 16";"KG";10.24;22.000;2.193
105;"0128";16;"";"";"TUBO IND. PT QUAD. 40 X 40 CH 18";"KG";7.62;22.000;232.912
106;"0128";2;"";"";"TUBO IND. PT QUAD. 40 X 40 CH 16";"KG";10.60;24.600;25.992
107;"0128";2;"";"";"TUBO IND. PT QUAD. 40 X 40 CH 14";"KG";9.65;20.000;319.534
108;"0128";2;"";"";"TUBO IND. PT QUAD. 50 X 50 CH 18";"KG";7.71;7.712;0
113;"0128";2;"";"";"TUBO IND. PT RET. 20 X 40 CH 18";"KG";13.43;13.430;0
120;"0128";16;"";"";"TUBO IND. PT RET. 30 X 50 CH 14";"KG";9.80;21.410;65.286
124;"0128";2;"";"";"TUBO IND. PT RED. 5/8 CH 18";"KG";9.96;13.090;2.260
129;"0128";5;"";"";"TUBO IND. PT RED. 1 CH 18";"KG";3.01;10.004;0
136;"0128";16;"";"";"TUBO IND. PT RED. 2' (50.80) CH 14";"KG";6.78;24.000;0
140;"0126";108;"";"";"TUBO PATENTE 3/4 (26.3O) CH 2.00MM";"KG";7.10;13.100;0
143;"0126";18;"";"";"TUBO PATENTE 1' (33.70) CH 2.65MM";"KG";12.32;20.000;182.700
144;"0126";5;"";"";"TUBO PATENTE 1.1/4 (42.40) CH 2.00MM";"KG";7.16;18.000;0
145;"0126";108;"";"";"TUBO PATENTE 1.1/4 (42.40) CH 2.25M";"KG";6.60;15.000;4041.200
146;"0126";18;"";"";"TUBO PATENTE 1.1/4 (42.40) CH 2.65M";"KG";6.60;17.000;0
147;"0126";2;"";"";"TUBO PATENTE 1.1/2 (48.30) CH 2.00M";"KG";8.75;22.000;16.095
149;"0126";16;"";"";"TUBO PATENTE 2' (60.30) CH 2.00MM";"KG";9.16;14.953;144.160
153;"0121";2;"";"";"PERFIL U 2' CH 14 (50 X 25 X 2.00)";"KG";11.14;13.745;0
156;"0121";2;"";"";"PERFIL U 2' CH 1/8 (50 X 25 X 3.00)";"KG";6.55;20.000;440.400
159;"0121";5;"";"";"PERFIL U 3' CH 12 (75 X 38 X 2.65)";"KG";7.89;16.390;0
161;"0121";2;"";"";"PERFIL ENRIJ. 75 X 40 X 15 X 2.65";"KG";0.49;6.156;0
163;"0129";2;"";"";"PNEU 3.25 X 8 AJAX";"PC";32.00;32.000;4.000
164;"0129";64;"";"";"PNEU 3.50 X 8";"PC";29.36;94.890;47.000
165;"0129";2;"";"";"PNEU 3.50 X 8 LEVORIN";"PC";69.98;131.000;0
166;"0129";27;"";"";"PNEU 4.00 X 8 AJAX";"PC";115.00;174.800;9.000
167;"0129";2;"";"";"PNEU 4.00 X 8 LEVORIN";"PC";88.32;164.220;8.000
170;"0112";2;"";"";"PORCA FLANGEADA 5/8";"PC";5.80;15.480;595.000
171;"0112";2;"";"";"PORCA GRAVATA";"PC";5.18;9.750;40.000
173;"0112";2;"";"";"PORCA LISA R/ESQUERDA 5/8";"PC";4.75;10.594;49.000
176;"0112";2;"";"";"PORCA MANIPULO 1.1/4";"PC";13.66;23.480;578.000
178;"0112";2;"";"";"PORCA SEXT. 5/16";"PC";0.11;0.239;419.000
179;"0112";2;"";"";"PORCA SEXT. 3/8";"UNID";0.16;0.300;838.000
180;"0112";2;"";"";"PORCA SEXT. 1/2";"PC";0.56;1.746;139.000
181;"0112";2;"";"";"PORCA SEXT. 5/8";"PC";1.07;1.970;85.000
183;"0157";2;"";"";"ROLAMENTO 6005 (GIRICA)";"PC";20.02;20.020;10.000
184;"0157";2;"";"";"ROLAMENTO 6205 ESFERA";"PC";12.00;18.180;4.000
186;"0102";21;"";"";"THINNER";"LT";13.98;59.358;0
187;"0102";5;"";"";"TINTA ESM. AMARELO";"LT";30.56;56.474;9.400
188;"0102";5;"";"";"TINTA ESM. AZUL DELREY";"LT";30.59;31.561;0
193;"0149";5;"";"";"TINTA EM PO BRANCA LISO HIBRIDO";"KG";23.38;30.960;71.500
194;"0149";21;"";"";"TINTA EM PO PRETA LISO HIBRIDO";"KG";18.07;18.070;34.080
195;"0112";5;"";"";"MADEIRA DE PINUS 75 X 25";"M";4.75;88.000;288.260
200;"0307";106;"";"";"ANDAIME 1.00 X 1.00 M";"PC";88.74;207.820;0
201;"0307";106;"";"";"ANDAIME PROJETADO";"PC";79.69;95.420;0
202;"0307";106;"";"";"ANDAIME 1.445 X 1.00 MOD 1";"PC";93.02;217.850;0
203;"0307";106;"";"";"ANDAIME 1.50 X 1.00 MOD 2";"PC";97.48;228.290;0
210;"0307";106;"";"";"BALDE P/ GUINCHO 50L";"PC";125.28;384.020;0
222;"0307";106;"";"";"BARRA ANCORAGEM 5/8 X 1.00 CM";"PC";35.48;70.230;50.000
228;"0307";106;"";"";"CABECAL SIMPLES";"PC";11.53;26.510;0
232;"0307";53;"";"";"CAMA BELICHE COM LASTRO";"UNID";622.84;1389.560;0
240;"0307";106;"";"";"CARRO TRANSPORTE BLOCO/TIJOLO";"UNID";548.71;1310.000;0
244;"0307";106;"";"";"CARRO PLATAFORMA 1.50 X 0.80 M";"UNID";1261.64;2865.320;0
246;"0307";53;"";"";"CARRO DE MAO P/GUINCHO SUPER";"UNID";409.47;1050.620;0
247;"0307";106;"";"";"CARRO DE MAO SUPER";"UNID";289.08;682.690;0
258;"0307";106;"XML";"XML";"ESCANTILHAO INTERNO";"PC";78.19;202.450;0
259;"0307";2;"";"";"ESCORA METALICA 31O CM";"PC";124.37;239.860;72.000
262;"0307";106;"";"";"DIAGONAL HORIZONTAL 1.42 MT";"PC";18.46;55.950;0
264;"0307";106;"";"";"DIAGONAL HORIZONTAL MOD 2";"PC";35.23;96.960;0
265;"0307";106;"";"";"ESCORA METALICA 370 CM PILAR";"PC";153.07;290.320;0
276;"0307";106;"";"";"FLAUTA PROLONGADORA C/ 2.00 MT";"PC";0.00;0.000;0
277;"0307";106;"";"";"FLAUTA P/ ESCORA DE 4,50";"PC";79.24;185.580;0
278;"0307";106;"";"";"FORCADO DUPLO";"PC";50.70;95.000;0
279;"0307";106;"";"";"FORCADO SIMPLES";"PC";54.78;89.770;431.000
287;"0307";106;"";"";"PINO TRAVA P/ ANDAIME";"PC";4.00;12.890;1378.000
291;"0321";106;"";"";"GIRICA CH14 REF ROLAMENTO/ ESF";"UNID";554.39;1556.000;0
293;"0307";106;"";"";"GUARDA CORPO 1.20 X 80 C/TELA";"PC";85.37;199.920;0
294;"0307";106;"";"";"GUARDA CORPO 1.20 X 1.00 MT";"PC";70.99;159.600;0
301;"0307";106;"";"";"GUARDA CORPO 1.20 X 1.80 MT";"PC";0.00;0.000;0
309;"0132";5;"";"";"LINHA DE VIDA DE 7,5M";"PC";308.82;737.560;0
319;"0307";8;"";"";"PLATAFORMA P/ ANDAIME 98X33 CM";"PC";71.92;175.000;0
332;"0329";106;"";"";"QUADRO VERT. C/ESCADA 2.00 MT";"UNID";181.28;586.430;200.000
333;"0329";106;"";"";"QUADRO VERT. S/ESCADA 2.00 MT";"UNID";129.59;486.910;210.000
335;"0307";5;"";"";"SAPATA REGULAVEL";"UNID";53.90;130.000;0
343;"0316";106;"";"";"TAMPA P/CX GORDURA 40 X 40 CM";"UNID";43.78;120.000;0
344;"0316";106;"";"";"TAMPA P/CX GORDURA 44 X 44 CM";"UNID";47.36;141.160;0
346;"0316";106;"";"";"TAMPA P/CX GORDURA 55 X 55 CM";"UNID";53.19;155.710;0
347;"0316";106;"";"";"TAMPA P/CX GORDURA 60 X 60 CM";"UNID";59.20;157.300;0
358;"0112";36;"";"";"TRILHO P/ PORTAO";"UNID";49.64;172.480;0
363;"0317";106;"";"";"VIGA METALICA VM 1.50 MT";"PC";89.00;208.420;0
367;"0106";303;"";"";"PARAFUSO L P/ANDAIME 3/8X45+30";"UNID";0.72;1.480;433.000
374;"0317";106;"";"";"VIGA METALICA V8 1.50 MT";"PC";84.95;140.020;159.000
375;"0317";106;"";"";"VIGA METALICA V8 2.00 MT";"PC";110.41;274.190;0
384;"0419";5;"";"";"BOTA C/ELASTICO PT N. 40";"PC";84.92;220.388;1.000
386;"0419";5;"";"";"BOTA C/ELASTICO PT N. 42";"PC";69.00;77.045;1.000
390;"0102";5;"";"";"ZARCOTEX CINZA";"LT";12.30;144.050;22.600
391;"0220";5;"";"";"DISCO DE DESBASTE 7'";"PC";10.84;16.200;12.000
392;"0210";5;"";"";"CORRENTE 1/8 (3.20MM)";"KG";15.93;43.212;0
394;"0112";5;"";"";"MOLA P/ ESCANTILHAO";"PC";7.00;13.260;6.000
395;"0431";5;"";"";"VASSOURCO 40 CM";"PC";42.00;42.192;3.000
397;"0112";5;"";"";"RODIZIO 3' C/ROSCA GIR S/FREIO";"PC";25.75;30.888;2.000
398;"0132";5;"";"";"TUBO GALV. RED. 2.1/2 CH16 (1,55)";"KG";11.61;188.270;28.607
401;"0220";5;"";"";"ZARCAO LARANJA 0.900LT";"PC";22.00;44.605;10.000
402;"0433";5;"";"";"TELA 15 X 15 PAINEL 3X2-4.2MM";"M2";17.98;17.983;0
403;"0220";5;"";"";"ELETRODO FERRO 6013 3.25MM";"KG";17.71;17.708;46.000
404;"0220";5;"";"";"OLEO SOLUVEL 100";"LT";38.00;52.750;104.000
407;"0134";5;"";"";"CANTONEIRA ALUMINIIO 1' X1/8";"KG";6.86;48.929;0
408;"0134";453;"";"";"REGUA AL. REFORCADA NT";"KG";27.90;46.470;38.868
411;"0134";5;"";"";"TUBO AL. RET. 2X1/2 TG 004";"KG";31.00;78.000;6.800
418;"0225";2;"";"";"BROCA ACO RAP 04.00MM";"PC";1.09;13.021;14.000
424;"0550";2;"";"";"ALICATE UNIV. 8'";"PC";31.69;35.076;5.000
428;"0225";2;"";"";"BROCA ACO RAP 10.00MM";"UNID";11.33;30.028;9.000
430;"0550";2;"";"";"PISTOLA ALTA PRESSÇO ALUM";"PC";395.00;777.119;1.000
431;"0220";3;"";"";"SERRA CIRCULAR MOD KHK 350";"PC";1262.40;16806.723;1.000
438;"0554";6;"";"";"AR CONDICIONADO 9,000BTUS";"PC";1335.00;2706.703;0
439;"0552";7;"";"";"ESMERILHADEIRA ANG. 4.1/2' 220V";"PC";348.15;528.121;4.000
441;"0220";4;"";"";"SERRA HSS DIAM. 350 X 2.5H40CV";"PC";600.00;1291.940;1.000
442;"0554";9;"";"";"ESTABILIZADOR 1000VA";"PC";154.10;519.038;1.000
447;"0552";11;"";"";"LIXADEIRA ANG. 7' 220V";"PC";545.00;1417.217;2.000
448;"0550";11;"";"";"CHAVE COMBINADA 13MM";"PC";7.87;46.224;3.000
449;"0550";11;"";"";"CHAVE COMBINADA 9/16'";"PC";13.06;16.751;1.000
453;"0553";5;"";"";"CAD SEC BG INJ PT 4004";"PC";196.00;397.389;0
457;"0552";2;"";"";"FURADEIRA DE IMPACTO PROF 13 RE";"PC";286.14;535.866;1.000
465;"0552";7;"";"";"POLICORTE 14 220V 4,7CV";"PC";630.00;1277.320;0
466;"0136";15;"";"";"ARRUELA RED 56 X 26,6 X 3,1";"PC";0.00;0.001;588.000
469;"0136";15;"";"";"ARRUELA RED 74X35X3 GALV";"PC";0.00;0.006;719.000
470;"0136";15;"";"";"ARRUELA RED 50X21X2";"PC";2.57;5.000;48.000
477;"0106";2;"";"";"PARAFUSO AUTO BROCANTE 1'X14";"UNID";0.23;0.500;1252.000
481;"0125";16;"";"";"CHAPA PRETA (2.65) 12 (3X120)";"KG";6.05;18.200;3203.944
482;"0112";7;"";"";"BOTAO 5/16 X 20 - 2516";"PC";0.97;3.120;666.000
488;"0106";5;"";"";"PARAFUSO SX S/P 3/8X1";"UNID";0.29;0.708;308.000
489;"0106";5;"";"";"PARAFUSO SX S/P 1 X 1/4";"PC";0.13;0.187;398.000
493;"0136";5;"";"";"ARRUELA DE PRESSAO 1/2";"PC";0.00;0.238;104.000
495;"0410";2;"XML";"XML";"ELETRODO A90/A140/A101/A141 (PR101) PLASMA-100 MEG";"UNID";29.00;42.000;7.000
509;"0106";15;"XML";"XML";"PARAF.PHILLIPS A.BROCA FLA.4.2X32";"UNID";12.13;18.270;0
513;"0143";16;"";"";"TUBO GALV. RET. 20 X 30 CH.18";"KG";11.46;24.000;79.380
525;"1202";5;"";"";".FLAUTA PROLONGADORA 2,00 MT";"PC";0.00;0.000;0
529;"0550";2;"";"";"JOGO DE MACHO M8X1,25 2PCS";"PC";90.00;90.000;1.000
535;"0554";5;"XML";"XML";"REFLETOR LED QD.FOXLUX COB 6500K 50W";"UNID";171.82;171.820;0
542;"0229";491;"XML";"XML";"BOBINA DE PLASTICO BOLHA 1,20X100";"BOB";52.50;75.000;10.000
547;"0307";106;"";"";"CHAPA METALICA EM L";"PC";42.00;42.000;0
548;"0409";5;"XML";"XML";"BOCAL PENDENTE C/RABICHO THOMPSON";"UNID";22.29;33.435;0
557;"0327";106;"";"";"TRAVE DE FUTEBOL DE SALAO";"UNID";334.35;800.510;2.000
570;"0433";2;"";"";"LINHA PEDREIRO LISA C/ 50M";"PC";4.56;25.840;1.000
571;"0220";2;"";"";"DISCO DE BORRACHA 7'";"PC";22.31;27.390;4.000
573;"0210";2;"";"";"CORREIA A 46";"PC";0.00;0.000;5.000
574;"0210";2;"";"";"CORREIA A 44";"PC";0.00;0.000;5.000
575;"0210";2;"";"";"CORREIA A 28";"PC";10.00;16.236;4.000
576;"0210";2;"";"";"CORREIA A 27";"PC";8.00;18.430;4.000
577;"0210";2;"";"";"CORREIA A 33";"PC";0.00;0.000;6.000
578;"0210";2;"";"";"CORREIA A 43";"PC";0.00;0.000;3.000
579;"0210";2;"";"";"CORREIA B 34";"PC";0.00;0.000;0
583;"0102";5;"";"";"TINTA ESM. PRETO";"LT";37.50;47.074;3.600
584;"0102";5;"";"";"TINTA ESM. VERMELHO";"LT";17.71;31.564;0
585;"0102";5;"";"";"TINTA ESM. CZ ESCURO";"LT";31.56;31.561;7.200
586;"0102";49;"";"";"TINTA ESM. VD FOLHA";"LT";32.26;67.224;3.600
591;"0121";5;"";"";"PERFIL U 4' CH 1/8 (100 X 40 X 3,00";"KG";6.55;24.000;832.000
592;"0149";5;"";"";"TINTA EM PO CZ CLARO";"KG";20.86;25.500;225.000
598;"0112";523;"";"";"NIPLE";"PC";10.60;15.450;5277.000
599;"0232";5;"";"";"DISCO DE CORTE 12'";"UN";26.00;30.700;135.000
600;"0220";5;"";"";"DISCO DE CORTE 7' COMUM";"PC";9.04;48.093;7.000
603;"0409";497;"";"";"ESCOVA DE ACO C/CABO MANUAL";"PC";3.29;16.220;2.000
604;"0228";2;"";"";"LIXA FERRO GR- 80";"FL";3.88;3.880;1.000
605;"0210";2;"";"";"DIFUSOR TOCHA MB24 M6";"PC";9.00;68.400;35.000
610;"0136";349;"";"";"ARRUELA RED 30X13X1";"PC";0.39;0.550;17.000
612;"0136";50;"";"";"ARRUELA RED 74X40X2";"PC";1.31;2.656;19.000
614;"0136";349;"";"";"ARRUELA RED 33X18X3";"PC";0.00;0.000;20.000
615;"0136";303;"";"";"ARRUELA RED 25X10X1,5";"UNID";0.25;24.770;11.000
616;"0136";349;"";"";"ARRUELA RED 24X12X3";"PC";0.56;0.635;144.000
619;"0450";12;"";"";"GASOLINA ORIGINA";"LT";5.28;7.684;0
625;"0419";5;"";"";"PROTETOR AURICULAR SILICONE";"PC";0.96;1.500;25.000
626;"0419";5;"";"";"LENTE 51 X 108 INCOLOR";"PC";1.90;1.900;37.000
632;"0210";52;"";"";"CORRENTE SIMPLES 3/4";"MT";115.22;115.220;2.300
633;"0210";52;"";"";"EMENDA P/CORRENTE SIMPLES 3/4";"PC";5.00;8.110;2.000
648;"0220";5;"";"";"DISCO DE CORTE 7' INOX PERFERD";"PC";4.93;81.472;15.000
657;"0132";16;"";"";"TUBO GALV. QUAD. 20X20 CH18";"KG";12.36;15.105;155.750
658;"0433";16;"";"";"FORRO PVC 200/8 FRIS ARAFORRO";"M2";26.00;50.000;0
661;"0112";5;"";"";"ROLDANA STANLEY DUPLO";"PC";12.50;40.000;6.000
662;"0132";5;"";"";"TUBO GALV. RED. 2.1/2 CH14 (2,00)";"KG";10.73;12.790;843.009
663;"0112";5;"";"";"ROLDANA 75MM CAIXA ABERTA";"PC";57.17;68.218;2.000
665;"0112";5;"";"";"TARUGO 5/8";"PC";4.04;8.000;38.000
666;"0307";106;"";"";"KIT REFORMA P/4 CARRO DE MAO";"KIT";300.55;394.388;0
668;"0132";5;"";"";"TUBO GALV. RET. 30 X 50 CH.18";"KG";10.58;16.029;14.388
672;"0431";49;"";"";"VASSOURAO GARI 40 CM";"PC";27.54;40.812;3.000
673;"0433";5;"";"";"PREGO 2.1/2 X 10";"KG";22.30;25.660;8.000
674;"0433";5;"";"";"TELHA GALVALUME 3.5M";"MT";39.40;101.500;0
675;"0419";5;"";"";"LUVA COURO/FORRADA LONGA";"PR";14.32;101.375;10.000
676;"0419";5;"";"";"MASCARA DESCAR. PFF1 C/V";"PC";1.94;3.500;0
677;"0307";106;"";"";"GUARDA CORPO 1.20 X 1.00 C/TELA";"PC";90.38;223.300;0
679;"0112";15;"";"";"REBITE ALUM 410";"PC";0.09;0.184;870.000
680;"0112";16;"";"";"TARUGO 1/2";"PC";2.10;3.140;35.000
681;"0125";16;"";"";"CHAPA PRETA (2.00) 14 (2X120)";"KG";6.91;22.000;3663.448
682;"0433";5;"";"";"ROLO LA DE CARNEIRO 328/9CM";"PC";9.84;17.206;0
683;"0419";5;"";"";"BOTA C/ELASTICO PT N. 44";"PC";53.94;97.320;0
685;"0112";15;"";"";"CHUMBADOR CBA 1/2X95";"UNID";0.11;10.625;8.000
686;"0220";2;"";"";"SERRA DE ACO 1224 STARRET";"PC";10.42;10.746;0
687;"0210";2;"";"";".BICO CONTATO TOCHA PLASMA";"PC";9.80;19.869;0
688;"0313";53;"";"";"GRADE C/ PORTA";"PC";441.57;1000.540;0
689;"0124";5;"";"";"BARRA CHATA 3 X 3/16";"KG";4.84;6.910;0
690;"0135";13;"";"";"CHAPA GALV. 18 (3 X 120)";"KG";9.06;10.040;1072.878
691;"1400";106;"";"";"SERVICO";"SV";73.00;140.000;0
693;"0307";106;"";"";"GUARDA CORPO 1.20 X 1.50";"PC";93.26;218.410;0
697;"0307";106;"";"";"SUPORTE P/ENCHIMENTO DE PILAR";"PC";103.64;374.200;0
698;"0307";106;"";"";"QUADRA DE ESPORTE P/ CONDOMINIO";"UNID";8024.88;16444.580;0
703;"0307";106;"";"";"BRACO DE CARRO DE MAO";"PC";44.03;132.490;0
704;"0125";16;"";"";"CHAPA PRETA (3.00) 1/8 (2X120)";"KG";10.91;19.000;0
705;"0210";36;"";"";"ABRACADEIRA DE MAG 8MM";"PC";6.50;1.764;0
706;"0419";5;"";"";"OCULOS CINZA";"PC";10.00;38.908;0
707;"0409";36;"";"";"LUVA QUIMICA 200G";"PR";15.99;32.420;0
709;"0433";5;"XML";"XML";"TOM.SLIM RJ45 4X2 C/PLACA 8064";"PC";8.51;17.254;0
713;"0128";16;"";"";"TUBO IND. PT RED. 5/8 CH 20";"KG";14.60;14.600;0
720;"0210";2;"XML";"XML";"MEGAPLASMA ELETRODO A81 MPR109";"UNID";18.99;38.502;0
721;"0307";106;"";"";"CACAMBA MED 100X150X0,80CM";"UNID";1576.14;1795.000;0
723;"0430";0;"XML";"XML";"CANETA ESFEROGRAFICA";"UNID";1.00;3.735;4.000
738;"0419";44;"XML";"XML";"LENTE 51 X 108 T-14 RET. P/ MASC.";"PC";1.51;2.636;26.000
